Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cleavage Of Damaged Pyrimidine R-HSA-110329	1/42	0.0532226997674706	0.1095041753836464	0	0	19.44682926829268	57.04280645506714	TERF2
SUMOylation Of Transcription Cofactors R-HSA-3899300	1/43	0.05445609753674947	0.11076865294406996	0	0	18.982857142857142	55.24695668935345	PHC3
Base-Excision Repair, AP Site Formation R-HSA-73929	1/44	0.05568795027574513	0.11200160785795929	0	0	18.54046511627907	53.54470543982107	TERF2
Bile Acid And Bile Salt Metabolism R-HSA-194068	1/45	0.05691825984444009	0.11320409457949752	0	0	18.118181818181817	51.929228934674526	OSBPL3
RNA Polymerase I Transcription Initiation R-HSA-73762	1/46	0.05814702809836536	0.1143771212044769	0	0	17.714666666666666	50.394338453793885	TAF1B
SUMOylation Of RNA Binding Proteins R-HSA-4570464	1/47	0.05937425688212708	0.11539777341488275	0	0	17.328695652173913	48.93440890536594	PHC3
NOTCH1 Intracellular Domain Regulates Transcription R-HSA-2122947	1/48	0.06059994805027362	0.11539777341488275	0	0	16.959148936170212	47.54431675958979	HDAC5
Inhibition Of DNA Recombination At Telomere R-HSA-9670095	1/48	0.06059994805027362	0.11539777341488275	0	0	16.959148936170212	47.54431675958979	TERF2
Cytokine Signaling In Immune System R-HSA-1280215	3/702	0.0615391615622874	0.11595273599630995	0	0	3.596753125583131	10.028040969828677	SEPSECS;CDKN1B;BCL2L11
Extension Of Telomeres R-HSA-180786	1/50	0.06304672495404354	0.11755587257056034	0	0	16.26530612244898	44.95534064809558	TERF2
Transcriptional Activity Of SMAD2/SMAD3:SMAD4 Heterotrimer R-HSA-2173793	1/51	0.06426781435749045	0.11859730690712156	0	0	15.9392	43.74826370127252	TFDP1
Signaling By Non-Receptor Tyrosine Kinases R-HSA-9006927	1/52	0.06548737353822447	0.11961469248308346	0	0	15.625882352941176	42.594560287369276	CDKN1B
Ion Transport By P-type ATPases R-HSA-936837	1/53	0.06670540432209354	0.12060876135004793	0	0	15.324615384615385	41.49092576513871	ATP2C1
Deadenylation-dependent mRNA Decay R-HSA-429914	1/56	0.07035034469412263	0.12292263649806516	0	0	14.486545454545455	38.45116817407706	EXOSC3
SUMOylation Of Chromatin Organization Proteins R-HSA-4551638	1/57	0.07156228025850431	0.12292263649806516	0	0	14.227142857142857	37.51963840746828	PHC3
NRAGE Signals Death Thru JNK R-HSA-193648	1/57	0.07156228025850431	0.12292263649806516	0	0	14.227142857142857	37.51963840746828	BCL2L11
Constitutive Signaling By NOTCH1 HD+PEST Domain Mutants R-HSA-2894862	1/58	0.07277269660307303	0.12292263649806516	0	0	13.976842105263158	36.62511888924771	HDAC5
SCF(Skp2)-mediated Degradation Of P27/P21 R-HSA-187577	1/59	0.07398159556008312	0.12292263649806516	0	0	13.735172413793103	35.76555009478774	CDKN1B
B-WICH Complex Positively Regulates rRNA Expression R-HSA-5250924	1/59	0.07398159556008312	0.12292263649806516	0	0	13.735172413793103	35.76555009478774	TAF1B
Transcriptional Regulation Of Granulopoiesis R-HSA-9616222	1/59	0.07398159556008312	0.12292263649806516	0	0	13.735172413793103	35.76555009478774	TFDP1
RNA Polymerase I Promoter Escape R-HSA-73772	1/59	0.07398159556008312	0.12292263649806516	0	0	13.735172413793103	35.76555009478774	TAF1B
Meiotic Synapsis R-HSA-1221632	1/60	0.07518897894221435	0.12292263649806516	0	0	13.501694915254237	34.93901932570728	TERF2
Selective Autophagy R-HSA-9663891	1/61	0.07639484857235952	0.12292263649806516	0	0	13.276	34.14374800125462	PINK1
Transcriptional Regulation By TP53 R-HSA-3700989	2/354	0.07685734729943974	0.12292263649806516	0	0	4.645359848484849	11.919083846216697	CDKN1B;TFDP1
Pre-NOTCH Transcription And Translation R-HSA-1912408	1/62	0.07759920628090147	0.12292263649806516	0	0	13.057704918032787	33.378080243086835	TFDP1
RAB Geranylgeranylation R-HSA-8873719	1/62	0.07759920628090147	0.12292263649806516	0	0	13.057704918032787	33.378080243086835	PTP4A2
Signaling By BRAF And RAF1 Fusions R-HSA-6802952	1/62	0.07759920628090147	0.12292263649806516	0	0	13.057704918032787	33.378080243086835	BCL2L11
p53-Dependent G1 DNA Damage Response R-HSA-69563	1/65	0.08120322601223476	0.12750331101921072	0	0	12.44375	31.243771275296563	CDKN1B
G1/S DNA Damage Checkpoints R-HSA-69615	1/67	0.08359837951382848	0.1301226950693504	0	0	12.065454545454546	29.94321429852069	CDKN1B
Diseases Of Programmed Cell Death R-HSA-9645723	1/71	0.08837068844278195	0.13385788443636237	0	0	11.373714285714286	27.595075557690926	BCL2L11
Base Excision Repair R-HSA-73884	1/72	0.08956002659775081	0.13385788443636237	0	0	11.212957746478873	27.05514238024048	TERF2
Extra-nuclear Estrogen Signaling R-HSA-9009391	1/73	0.09074787272717313	0.13385788443636237	0	0	11.056666666666667	26.53235403248719	CDKN1B
Positive Epigenetic Regulation Of rRNA Expression R-HSA-5250913	1/74	0.09193422863113675	0.13385788443636237	0	0	10.904657534246576	26.025948367758343	TAF1B
Signaling By NOTCH1 R-HSA-1980143	1/74	0.09193422863113675	0.13385788443636237	0	0	10.904657534246576	26.025948367758343	HDAC5
Cell Death Signaling Via NRAGE, NRIF And NADE R-HSA-204998	1/74	0.09193422863113675	0.13385788443636237	0	0	10.904657534246576	26.025948367758343	BCL2L11
NoRC Negatively Regulates rRNA Expression R-HSA-427413	1/74	0.09193422863113675	0.13385788443636237	0	0	10.904657534246576	26.025948367758343	TAF1B
Signal Transduction R-HSA-162582	6/2465	0.09198055746185795	0.13385788443636237	0	0	2.1368442456283043	5.098890848442263	HDAC5;CDKN1B;BCL2L11;TFDP1;PHC3;TRAK2
SUMOylation Of DNA Damage Response And Repair Proteins R-HSA-3108214	1/76	0.09430247690616043	0.13517966134842596	0	0	10.6128	25.05945090071607	PHC3
Negative Epigenetic Regulation Of rRNA Expression R-HSA-5250941	1/77	0.09548437287799914	0.13517966134842596	0	0	10.472631578947368	24.598040389517	TAF1B
Oncogenic MAPK Signaling R-HSA-6802957	1/78	0.09666478576870684	0.13517966134842596	0	0	10.336103896103896	24.150369828536576	BCL2L11
Pre-NOTCH Expression And Processing R-HSA-1912422	1/78	0.09666478576870684	0.13517966134842596	0	0	10.336103896103896	24.150369828536576	TFDP1
RNA Polymerase I Promoter Clearance R-HSA-73854	1/78	0.09666478576870684	0.13517966134842596	0	0	10.336103896103896	24.150369828536576	TAF1B
RNA Polymerase I Transcription R-HSA-73864	1/79	0.09784371739772278	0.13576763886970836	0	0	10.203076923076923	23.715866645497698	TAF1B
Regulation Of HSF1-mediated Heat Shock Response R-HSA-3371453	1/81	0.10019714393032884	0.13691060124831192	0	0	9.947	22.884223317764803	DNAJB6
Senescence-Associated Secretory Phenotype (SASP) R-HSA-2559582	1/81	0.10019714393032884	0.13691060124831192	0	0	9.947	22.884223317764803	CDKN1B
Regulation Of mRNA Stability By Proteins That Bind AU-rich Elements R-HSA-450531	1/88	0.10838773812519654	0.1452577770237533	0	0	9.143448275862069	20.317110671548264	EXOSC3
Meiosis R-HSA-1500620	1/88	0.10838773812519654	0.1452577770237533	0	0	9.143448275862069	20.317110671548264	TERF2
Glucose Metabolism R-HSA-70326	1/89	0.1095519547385849	0.1452577770237533	0	0	9.039090909090909	19.988651258599795	SLC37A1
Unfolded Protein Response (UPR) R-HSA-381119	1/89	0.1095519547385849	0.1452577770237533	0	0	9.039090909090909	19.988651258599795	EXOSC3
Selenocysteine Synthesis R-HSA-2408557	1/90	0.11071470959932304	0.14572009572263842	0	0	8.937078651685393	19.668709917074917	SEPSECS
Signaling By TGF-beta Receptor Complex R-HSA-170834	1/91	0.11187600445607333	0.14617375764698634	0	0	8.837333333333333	19.356977885596702	TFDP1
Telomere Maintenance R-HSA-157579	1/92	0.11303584104657523	0.1466189532415722	0	0	8.73978021978022	19.053160779847286	TERF2
P75 NTR Receptor-Mediated Signaling R-HSA-193704	1/95	0.11650661897129477	0.14896203425615545	0	0	8.459574468085107	18.18645403601482	BCL2L11
Transcriptional Regulation By RUNX3 R-HSA-8878159	1/95	0.11650661897129477	0.14896203425615545	0	0	8.459574468085107	18.18645403601482	BCL2L11
Cellular Response To Heat Stress R-HSA-3371556	1/99	0.12111401386497878	0.15375467008390922	0	0	8.11265306122449	17.125996503061426	DNAJB6
PI3K/AKT Signaling In Cancer R-HSA-2219528	1/105	0.12798181377597367	0.16132918778802316	0	0	7.642307692307693	15.711568991148608	CDKN1B
Reproduction R-HSA-1474165	1/113	0.13705865061663106	0.17058928008517693	0	0	7.093571428571429	14.097383202443446	TERF2
Macroautophagy R-HSA-1632852	1/114	0.13818684699637238	0.17058928008517693	0	0	7.0304424778761065	13.914290006879398	PINK1
Selenoamino Acid Metabolism R-HSA-2408522	1/114	0.13818684699637238	0.17058928008517693	0	0	7.0304424778761065	13.914290006879398	SEPSECS
Epigenetic Regulation Of Gene Expression R-HSA-212165	1/116	0.14043898652262077	0.17218204512019944	0	0	6.907478260869565	13.55925648720389	TAF1B
Chromosome Maintenance R-HSA-73886	1/118	0.14268546642654423	0.17374624823368312	0	0	6.788717948717949	13.21839830149686	TERF2
Signaling By TGFB Family Members R-HSA-9006936	1/119	0.1438065882864303	0.17392823853561504	0	0	6.730847457627118	13.053038371424424	TFDP1
Metabolism Of Water-Soluble Vitamins And Cofactors R-HSA-196849	1/122	0.14716150198900724	0.17574213493555835	0	0	6.56297520661157	12.57613481767676	SLC25A32
Cell Cycle, Mitotic R-HSA-69278	2/523	0.14726994547672487	0.17574213493555835	0	0	3.111484325015995	5.960010925558813	CDKN1B;TFDP1
Autophagy R-HSA-9612973	1/128	0.1538334485494842	0.18235885622753426	0	0	6.251023622047244	11.7011958821415	PINK1
Death Receptor Signaling R-HSA-73887	1/139	0.16593522242277065	0.19541055798471016	0	0	5.7495652173913046	10.32712637245633	BCL2L11
Metabolism Of Steroids R-HSA-8957322	1/153	0.18109694579380833	0.21187159017706989	0	0	5.2163157894736845	8.913237611851748	OSBPL3
Disease R-HSA-1643685	4/1736	0.1847330977660772	0.214722237013817	0	0	1.9149695570018896	3.234083334459192	HDAC5;CDKN1B;BCL2L11;TFDP1
SUMO E3 Ligases SUMOylate Target Proteins R-HSA-3108232	1/168	0.19704748050505724	0.22755805813164673	0	0	4.744191616766467	7.706040548856063	PHC3
SUMOylation R-HSA-2990846	1/174	0.20334368249673665	0.23302883953890913	0	0	4.578265895953757	7.292526150272238	PHC3
Ion Channel Transport R-HSA-983712	1/175	0.20438842350619404	0.23302883953890913	0	0	4.551724137931035	7.226922887981708	ATP2C1
Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226	1/179	0.20855422889981606	0.23627346185485493	0	0	4.448539325842697	6.973335316265452	EXOSC3
Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542	2/660	0.2112339858946517	0.23780429858580285	0	0	2.4463019250253293	3.8034828883500182	CDKN1B;TRAK2
Metabolism Of Vitamins And Cofactors R-HSA-196854	1/186	0.2157939725559903	0.24141950679701413	0	0	4.278702702702703	6.561096036905462	SLC25A32
ESR-mediated Signaling R-HSA-8939211	1/188	0.21785074699722382	0.24184578193161096	0	0	4.232513368983957	6.450117998649596	CDKN1B
rRNA Processing In Nucleus And Cytosol R-HSA-8868773	1/189	0.21887718811687695	0.24184578193161096	0	0	4.209787234042553	6.395696064943001	EXOSC3
rRNA Processing R-HSA-72312	1/199	0.22907061677652724	0.2515560760920146	0	0	3.995151515151515	5.8877544779398665	EXOSC3
Transcriptional Regulation By RUNX1 R-HSA-8878171	1/204	0.23411924568486955	0.25553259132677836	0	0	3.8957635467980296	5.656355305246379	PHC3
Metabolism R-HSA-1430728	4/2049	0.27351382100996535	0.2967210543077806	0	0	1.5940431206934875	2.0665224823179176	SEPSECS;SLC37A1;OSBPL3;SLC25A32
Signaling By Nuclear Receptors R-HSA-9006931	1/260	0.2885354885385602	0.3111316412554354	0	0	3.044787644787645	3.78447979956273	CDKN1B
RHO GTPase Effectors R-HSA-195258	1/269	0.2969266442922748	0.31826269058872564	0	0	2.941194029850746	3.571404144044734	CDKN1B
Cell Cycle Checkpoints R-HSA-69620	1/271	0.29877837993995277	0.3183412500550687	0	0	2.919111111111111	3.5264414740762566	CDKN1B
Metabolism Of Carbohydrates R-HSA-71387	1/285	0.3116098476219543	0.33004830014396347	0	0	2.7732394366197184	3.2336065069427065	SLC37A1
DNA Repair R-HSA-73894	1/310	0.33396373496588466	0.35164416799349035	0	0	2.545631067961165	2.791851810425802	TERF2
Metabolism Of Amino Acids And Derivatives R-HSA-71291	1/364	0.3798907813800664	0.3976634495148063	0	0	2.16099173553719	2.091562280136057	SEPSECS
Immune System R-HSA-168256	3/1943	0.4697161148987292	0.48883246841204964	0	0	1.2125056028686687	0.9162017015416571	SEPSECS;CDKN1B;BCL2L11
Post-translational Protein Modification R-HSA-597592	2/1383	0.545203483188661	0.5641122745131233	0	0	1.1219526912865074	0.6805722282905078	PTP4A2;PHC3
Signaling By Rho GTPases R-HSA-194315	1/644	0.5732320311217165	0.5897042159240646	0	0	1.2025505443234836	0.6691769319202465	CDKN1B
Metabolism Of RNA R-HSA-8953854	1/666	0.585674017336214	0.5990608520181847	0	0	1.1614436090225564	0.6213629563486741	EXOSC3
Transport Of Small Molecules R-HSA-382551	1/706	0.6074078156764934	0.6177613579891609	0	0	1.0932765957446808	0.545058359065813	ATP2C1
Metabolism Of Lipids R-HSA-556833	1/732	0.620942348271138	0.6279586459917158	0	0	1.05296853625171	0.5017574482974868	OSBPL3
Metabolism Of Proteins R-HSA-392499	2/1890	0.7190837624264944	0.7231235588446208	0	0	0.798287429378531	0.2632571764942015	PTP4A2;PHC3
Developmental Biology R-HSA-1266738	1/1073	0.7617966653664601	0.7617966653664601	0	0	0.7052985074626865	0.19189451618789674	TFDP1
