,clusters
cg17611045,6
cg17640485,2
cg18337222,3
cg18349298,3
cg18603228,0
cg19402939,6
cg19445322,6
cg19962116,0
cg20916523,6
cg21123160,3
cg21487550,6
cg21585138,4
cg21664636,4
cg23189410,3
cg23189692,7
cg24159436,2
cg24524379,6
cg24675998,0
cg27353899,6
cg27363829,0
cg27642784,5
cg00335712,0
cg00688962,0
cg02650266,5
cg02662828,0
cg03544320,0
cg03792162,5
cg05491001,0
cg06424065,3
cg06594404,3
cg07094298,1
cg08812889,0
cg08979352,2
cg09098195,2
cg09390241,4
cg09978860,6
cg10197305,6
cg10366786,1
cg10453719,0
cg10966580,0
cg11294620,6
cg12069267,5
cg12363722,0
cg12811871,4
cg13023646,6
cg14029686,5
cg15078412,6
cg16026922,0
cg16786756,6
cg16919569,0
cg17397159,2
cg17932096,6
cg18912209,6
cg19908812,0
cg20058148,1
cg20456258,5
cg20729813,6
cg20814179,6
cg21300373,0
cg21512644,0
cg21717958,6
cg21722242,3
cg21811021,5
cg22153181,0
cg22718636,5
cg23939001,6
cg25107254,0
cg25456368,6
cg25932599,6
cg26133769,0
cg26479374,1
cg26741686,6
cg26832294,0
cg26986681,6
cg27207756,6
cg27339282,6
cg00127167,0
cg00582971,0
cg00611789,6
cg01256539,1
cg01925738,5
cg02010196,0
cg02343823,3
cg02707176,5
cg04005843,6
cg04124626,5
cg04454086,0
cg04518342,5
cg05016408,3
cg05494467,3
cg05521474,6
cg05903444,0
cg06536614,6
cg06782035,5
cg06905511,6
cg06933824,5
cg06976144,6
cg07408835,0
cg07496545,5
cg07564962,0
cg08616061,5
cg08957484,5
cg09054633,0
cg09452568,7
cg09500443,0
cg09655403,6
cg09660878,6
cg10530883,0
cg10616795,1
cg11168104,6
cg11322797,0
cg11482794,0
cg11624524,6
cg11625005,3
cg11861905,6
cg12395823,6
cg12408990,6
cg13954457,0
cg14502484,0
cg15025103,5
cg15168727,0
cg15335436,0
cg15595755,6
cg15671317,5
cg15672768,5
cg15929797,0
cg16006841,6
cg16049690,0
cg16272981,4
cg16293892,6
cg16512661,0
cg16624210,6
cg17370163,0
cg17500228,7
cg17774559,0
cg17840719,3
cg18045100,4
cg18273840,0
cg18424208,6
cg18631996,3
cg18765565,6
cg18781988,5
cg19078576,0
cg19731612,6
cg19967668,6
cg19978312,5
cg20563910,0
cg20750832,0
cg21081817,6
cg21573200,0
cg21915313,5
cg22827250,5
cg22879098,6
cg23506143,3
cg24082121,1
cg24172509,6
cg24996161,5
cg25026992,5
cg26076054,6
cg26078977,0
cg26328633,6
cg26422488,0
cg26446499,3
cg26516362,6
cg26844246,0
cg26886462,0
cg00084338,5
cg00807871,5
cg01047555,0
cg01152056,6
cg01286685,5
cg01758512,0
cg02106850,0
cg02524205,5
cg02772121,6
cg03438552,4
cg03517284,6
cg03678062,3
cg03771840,0
cg03960072,5
cg07028914,0
cg07187855,6
cg07188523,7
cg07223240,5
cg07257824,6
cg07382347,5
cg07417146,3
cg07518714,6
cg07883457,0
cg08375234,6
cg08453194,1
cg08476511,5
cg08839808,2
cg08956463,0
cg08979319,3
cg09001226,3
cg09048334,6
cg09187505,5
cg09279736,5
cg09572125,3
cg09637172,4
cg09749225,6
cg10135483,0
cg10176110,0
cg10182317,0
cg10563109,6
cg10647833,7
cg10721149,0
cg10890302,5
cg10904109,0
cg10923662,5
cg11068217,4
cg11540476,6
cg11563680,0
cg11671688,3
cg12633154,5
cg13246235,0
cg13299325,4
cg13912224,3
cg15253304,4
cg15562220,0
cg16530177,6
cg16867657,5
cg17478979,3
cg17536595,0
cg17553149,6
cg17674042,2
cg18217622,6
cg18833306,6
cg18912728,3
cg20053110,6
cg20980653,4
cg21010202,6
cg22237300,5
cg22570970,3
cg22620090,0
cg23618440,0
cg23746497,0
cg24246628,5
cg24366557,0
cg24442454,5
cg24869601,0
cg25351606,0
cg25657713,0
cg26121931,6
cg26466587,5
cg26715042,6
cg27226147,6
cg27239981,5
cg27535677,6
cg00048759,5
cg00094518,0
cg00106345,5
cg00552235,5
cg00553149,5
cg00840332,3
cg00867835,6
cg01003961,0
cg01285926,5
cg01381374,6
cg01996567,6
cg02497785,6
cg02820566,6
cg02914422,0
cg03188948,6
cg03190219,3
cg03357999,5
cg03817667,0
cg04021544,6
cg04633141,6
cg04652097,0
cg04996195,6
cg05223392,2
cg05425699,2
cg05732750,0
cg06155229,1
cg06335867,0
cg06352730,0
cg06589239,4
cg06783429,5
cg06975979,6
cg07045469,6
cg07075347,6
cg07138768,6
cg07143083,0
cg07750378,5
cg08575537,0
cg08580268,5
cg08641579,0
cg08832624,5
cg09124496,1
cg09506675,6
cg09658497,2
cg09937438,3
cg10092878,0
cg10259889,6
cg10477621,0
cg10552126,0
cg10720000,5
cg10742917,5
cg11024728,6
cg12348202,0
cg12479444,5
cg12575883,6
cg12597389,0
cg13207630,6
cg13381984,5
cg13578160,6
cg14398883,2
cg15134787,6
cg15782153,6
cg16172923,6
cg16234978,3
cg16627090,6
cg16649298,0
cg17429236,3
cg17827650,5
cg18402987,6
cg18961681,0
cg19183166,6
cg19230755,0
cg19346786,5
cg19594666,3
cg19629631,6
cg20164601,5
cg20603222,6
cg20697025,3
cg20848291,6
cg21126583,0
cg21733531,5
cg21887193,3
cg22114489,2
cg22620221,0
cg22747501,2
cg23316599,5
cg23752752,5
cg24497732,5
cg24707573,6
cg24729221,5
cg24830730,2
cg25712005,1
cg25820728,4
cg26224354,2
cg26814075,3
cg26996890,6
cg27100990,0
cg27393010,0
cg27454412,3
cg27549208,2
cg01471372,2
cg01518225,6
cg01906015,0
cg02048922,4
cg02110858,2
cg03454775,5
cg03635442,6
cg03660096,1
cg04122358,6
cg04169483,5
cg04773818,0
cg04880091,6
cg05056638,6
cg05453358,5
cg06010588,0
cg06383163,0
cg06401414,4
cg06808751,0
cg06822816,0
cg08174789,6
cg08756121,0
cg09232555,6
cg09442654,0
cg10806146,3
cg11062466,6
cg11204212,5
cg11424828,6
cg11460727,0
cg11469098,0
cg11471802,5
cg11701471,0
cg11826726,6
cg12097222,0
cg12166610,0
cg12258042,0
cg12296772,0
cg12877723,0
cg13257436,5
cg13282195,6
cg13434842,3
cg13735469,6
cg14015441,3
cg14354820,4
cg14486338,0
cg15316716,4
cg15427886,0
cg15628518,3
cg15858239,0
cg16316162,6
cg16419235,0
cg16783744,0
cg17052170,6
cg17173767,0
cg17465752,3
cg17470251,2
cg17486097,0
cg18343437,0
cg19893585,3
cg20607798,6
cg20661138,3
cg21163717,4
cg21183256,0
cg21244135,4
cg21709871,5
cg22382021,5
cg23291534,0
cg23495279,0
cg23958373,6
cg24142603,4
cg24634471,6
cg24809973,0
cg24911891,4
cg25017584,4
cg26872137,0
cg26925231,0
cg27005749,0
cg27317647,3
cg05863502,0
cg11510586,6
cg13397898,3
cg13449257,4
cg13544075,2
cg13558371,5
cg13571460,6
cg13679303,5
cg13874425,6
cg13888226,6
cg13985784,0
cg14018024,2
cg14185918,5
cg14217861,2
cg14255824,1
cg14294859,2
cg14326196,0
cg14349763,4
cg14389669,2
cg14406134,4
cg14425564,0
cg14620572,5
cg21160290,2
cg21167269,6
cg21251970,6
cg23928763,6
cg00158122,3
cg00159523,5
cg00824018,0
cg01150683,0
cg01476568,0
cg02477603,5
cg02721176,6
cg03015672,4
cg03171770,0
cg03354992,0
cg03463778,6
cg03599078,0
cg04189187,4
cg04270401,6
cg04492858,5
cg04707519,5
cg04813697,4
cg05098512,4
cg05184377,0
cg05237641,0
cg05265884,5
cg05791173,5
cg05898188,5
cg05971678,7
cg06159404,6
cg06324373,5
cg06474225,7
cg06648277,0
cg07044859,6
cg07055616,0
cg07091481,2
cg07151406,1
cg08461752,2
cg09577804,6
cg09614415,0
cg09634707,6
cg10056132,0
cg10298052,0
cg10804656,0
cg11376341,7
cg11430259,6
cg11445109,6
cg11705975,0
cg11727383,0
cg12060422,0
cg12610471,0
cg12765123,6
cg13327545,0
cg13714026,1
cg13750264,6
cg13933080,0
cg14156751,3
cg15638709,0
cg15795305,5
cg16208053,5
cg16501237,0
cg16532016,6
cg16664405,0
cg16692735,5
cg16697438,0
cg16750801,2
cg17301379,6
cg17477052,6
cg17841267,4
cg18247055,0
cg18358869,0
cg18675610,1
cg18699744,5
cg18737081,2
cg18932726,0
cg19317226,6
cg19904058,5
cg20087519,5
cg20638675,6
cg22633280,3
cg23304023,4
cg23615741,2
cg24205914,5
cg24621437,0
cg25604594,6
cg25888561,5
cg26115633,0
cg27177554,5
cg27312979,1
cg27367170,3
cg27469738,6
cg00270878,6
cg00496961,6
cg01178624,6
cg01530101,5
cg01568784,0
cg01677628,6
cg01794156,6
cg02046143,1
cg02423574,1
cg02423817,4
cg02646491,5
cg02973171,0
cg03146219,3
cg03155200,7
cg03274739,6
cg03528538,4
cg03730428,0
cg04940570,0
cg04942251,2
cg05353869,6
cg05475524,5
cg05733135,0
cg05898618,2
cg06064525,6
cg06299284,5
cg06679296,6
cg06719900,0
cg06766960,6
cg07675031,3
cg07688490,0
cg08214808,5
cg08227583,4
cg08356637,7
cg08804111,6
cg08829299,6
cg09251429,0
cg09527615,2
cg09767822,3
cg10261205,6
cg11284797,5
cg11537406,6
cg11909574,6
cg12064373,6
cg12500951,5
cg12832726,3
cg13228701,6
cg13570972,0
cg13771313,6
cg14130459,5
cg14249520,3
cg14699728,0
cg14780632,0
cg15296767,3
cg15310492,0
cg15861585,0
cg15916004,0
cg16385335,4
cg16554981,1
cg16776065,0
cg17176573,0
cg17416644,6
cg17566541,3
cg17611235,1
cg18032502,6
cg18723409,3
cg18729298,3
cg18987410,0
cg19021383,5
cg19284039,6
cg19679397,2
cg20171011,4
cg20596329,3
cg20809378,0
cg21011139,0
cg21663341,3
cg21782309,6
cg21893358,5
cg22136363,3
cg22805485,6
cg23854488,5
cg24049888,6
cg24891434,5
cg25203481,0
cg25258098,6
cg25886479,2
cg26051413,6
cg26226988,4
cg00610577,3
cg00766289,6
cg01054110,2
cg01352472,2
cg02734259,6
cg03539765,5
cg03565777,2
cg04347477,3
cg07679219,6
cg07877257,6
cg07986199,1
cg08696931,3
cg09692396,1
cg09800500,4
cg09887059,0
cg10317314,6
cg10665891,3
cg10906284,0
cg11429292,0
cg13504434,2
cg13575925,5
cg14062119,0
cg14078579,6
cg14497054,5
cg14844236,3
cg16065021,0
cg16374999,5
cg16408865,4
cg16519192,5
cg18644252,6
cg18877737,6
cg19796532,3
cg20090957,6
cg20181887,3
cg20731937,6
cg22125805,0
cg22249612,7
cg22490861,3
cg23081604,5
cg23128949,7
cg24131359,7
cg25201101,4
cg26922917,6
cg26931862,0
cg27179101,3
cg27651238,5
cg00525681,6
cg00963378,6
cg02030958,4
cg02320481,0
cg02547394,0
cg02611934,6
cg03486986,5
cg03954144,6
cg06133910,4
cg06259025,5
cg06452665,0
cg06470855,6
cg07296256,3
cg08136772,0
cg08293242,6
cg08510264,0
cg08959039,6
cg09469566,0
cg09907509,0
cg13846270,5
cg13903179,6
cg15653173,0
cg15696906,0
cg15972148,7
cg16705627,0
cg16820615,2
cg17555373,0
cg17655970,6
cg20293942,5
cg24492140,6
cg25461801,0
cg26444528,0
cg26609631,0
cg27031448,6
cg27260867,6
cg01775802,6
cg01840183,6
cg01873886,5
cg01993818,6
cg02287710,0
cg02299497,6
cg03575765,1
cg04224064,0
cg04517524,5
cg05057720,0
cg05402891,1
cg05931439,3
cg08182193,2
cg09341793,0
cg10077239,5
cg10101773,3
cg10501704,0
cg10920224,5
cg11115622,3
cg11143148,1
cg13225565,6
cg14020846,0
cg17007640,0
cg18313317,6
cg19811934,6
cg19865237,6
cg20310894,3
cg20478129,0
cg22789982,5
cg23112821,6
cg23248887,0
cg23998119,5
cg24740320,4
cg24779941,5
cg26260369,6
cg26354128,0
cg26967100,0
cg27170268,7
cg01178680,0
cg01919939,6
cg02486855,6
cg03209642,0
cg04140663,5
cg04188862,0
cg05790451,3
cg06107293,7
cg07057579,3
cg07774964,2
cg08433504,1
cg09397246,3
cg09827761,6
cg12546081,6
cg12685846,0
cg12863693,6
cg13136933,6
cg13626582,6
cg14512563,0
cg15605858,3
cg16275295,3
cg16391327,6
cg18388910,6
cg18490614,3
cg19295951,0
cg19461383,6
cg19556901,6
cg19821713,3
cg19965221,0
cg20255370,6
cg20318166,0
cg20592017,2
cg21149266,7
cg21402921,0
cg21791017,5
cg22159025,6
cg23934731,5
cg24139093,0
cg24152845,6
cg24369989,0
cg25404375,1
cg25895948,0
cg26942432,6
cg27578811,0
cg27649239,0
cg27664085,5
cg00249383,3
cg00452882,6
cg00942219,0
cg01023759,5
cg01107178,4
cg01207684,2
cg01718742,0
cg02352240,3
cg02548364,0
cg02564175,2
cg02852791,3
cg03415617,5
cg03507326,4
cg03728674,4
cg03834411,6
cg03890691,5
cg04194840,1
cg04208403,2
cg04716530,4
cg04914946,7
cg05083852,3
cg05413628,3
cg05457730,6
cg05638439,2
cg06233301,4
cg06552969,6
cg06601581,2
cg06602086,6
cg06749872,4
cg07310671,1
cg07336350,0
cg07516511,5
cg07605523,1
cg07639376,6
cg07646362,5
cg07850527,0
cg08084154,6
cg08277369,6
cg08296037,6
cg08428292,4
cg08438529,4
cg08511886,1
cg08886823,3
cg08923669,5
cg09259081,1
cg09316954,6
cg09477019,5
cg09482050,6
cg09642825,4
cg15811515,0
cg16372632,6
cg16391678,4
cg27183791,4
cg27219841,6
cg27228433,5
cg27365295,6
cg27583010,4
cg00376544,0
cg00430613,6
cg00594854,4
cg00911794,0
cg00945209,4
cg00974761,4
cg01461856,6
cg01543184,3
cg01637175,6
cg01781617,6
cg02093112,0
cg02228675,5
cg02374745,0
cg02452435,6
cg02676175,6
cg02930419,6
cg03407747,5
cg03803541,6
cg04042333,4
cg04296540,0
cg04352272,5
cg05373251,2
cg05726661,0
cg05856321,6
cg05978306,3
cg06100756,3
cg06126721,7
cg06893273,2
cg07075026,6
cg07146073,4
cg07274618,0
cg07697428,4
cg07739179,5
cg07937925,5
cg08154101,1
cg08500763,3
cg08591265,4
cg09096555,5
cg09121543,4
cg09187107,7
cg09648727,2
cg09812376,6
cg10137837,0
cg10186366,3
cg10308785,2
cg11068289,1
cg11183072,3
cg11641791,0
cg12077963,4
cg12765064,5
cg14011789,4
cg14181409,7
cg14263391,3
cg14947218,6
cg15191021,5
cg15825321,5
cg16047279,4
cg16340422,1
cg16513459,6
cg16755500,0
cg16766914,6
cg16810031,4
cg16835101,6
cg16968985,5
cg16969368,5
cg17179862,6
cg17525495,7
cg17807479,0
cg18026225,5
cg18128536,6
cg19030682,4
cg19056772,0
cg19163395,4
cg19430537,5
cg19447962,3
cg19563510,3
cg19618897,4
cg19935040,6
cg20273670,5
cg20769177,0
cg20966754,6
cg21237687,5
cg21347874,1
cg21692620,5
cg21926619,7
cg22120714,0
cg22175814,6
cg22193912,3
cg22534110,6
cg23161218,3
cg23350904,3
cg23365801,6
cg23621097,0
cg23669081,6
cg23766254,6
cg24122498,3
cg24709951,1
cg24803719,5
cg24870966,6
cg25563256,0
cg25657218,5
cg25858132,5
cg26879581,0
cg27125849,0
cg27138293,5
cg27375378,5
cg27395066,0
cg00366917,2
cg00636427,3
cg01056135,7
cg02750262,5
cg03614193,0
cg03972071,5
cg07637837,2
cg15916399,0
cg16922039,3
cg18044383,0
cg20192747,0
cg21330207,5
cg23883696,0
cg24202131,5
cg24880056,0
cg25423077,6
cg00449767,6
cg00479463,4
cg00591868,4
cg00593900,5
cg01023751,1
cg01410876,5
cg01428589,0
cg01542019,1
cg02624701,6
cg02711397,5
cg02872767,6
cg02919615,5
cg03192598,0
cg03593550,0
cg03624195,3
cg03630821,6
cg04164838,5
cg04419610,5
cg04546413,6
cg04731544,5
cg05006231,5
cg05027597,3
cg05213896,5
cg05308495,6
cg05368740,5
cg06379435,7
cg06423211,6
cg06706159,4
cg06942742,5
cg07060551,0
cg07355926,5
cg07382454,0
cg07749412,5
cg07785717,5
cg08145067,0
cg08305436,0
cg08324152,5
cg08461949,5
cg08570691,4
cg08617160,5
cg08852641,4
cg09450024,6
cg09515953,0
cg09521703,0
cg09578475,0
cg09907936,0
cg09935271,2
cg10374084,5
cg10404009,6
cg10604476,6
cg10665321,5
cg10687087,6
cg10769989,6
cg10783469,5
cg11254700,3
cg11395414,6
cg11902728,3
cg12156512,7
cg12216477,5
cg12227172,5
cg12542255,3
cg13404054,0
cg13407975,0
cg13558754,3
cg14036830,6
cg14101485,3
cg14106680,6
cg14299480,6
cg14582763,0
cg14679780,4
cg15027300,0
cg15030849,0
cg15213081,6
cg15215348,5
cg15572907,6
cg15576517,3
cg15690347,5
cg16015423,0
cg16194588,6
cg16615829,5
cg16672562,2
cg16744531,5
cg17780246,0
cg17810176,3
cg17861230,0
cg17929770,0
cg18075691,6
cg18229178,5
cg18384778,0
cg18417954,5
cg18541087,4
cg18563413,5
cg19344626,1
cg19485202,0
cg19497523,2
cg19517476,4
cg20106459,0
cg20464719,3
cg20667364,6
cg21869609,6
cg21994712,6
cg22195627,0
cg22294740,2
cg23331484,0
cg23368787,0
cg23463608,4
cg24137511,4
cg24175803,6
cg24368848,0
cg24377495,5
cg24415208,0
cg24476033,6
cg24679890,3
cg24714497,5
cg24794228,5
cg24840300,5
cg24911113,0
cg24923931,5
cg25352836,5
cg25537993,0
cg25556122,6
cg25623524,6
cg25784220,0
cg26254045,6
cg26734888,5
cg26746936,6
cg26827373,0
cg26890189,0
cg26923490,0
cg26988138,6
cg27072996,0
cg27152890,5
cg27391267,0
cg00199007,5
cg00446123,4
cg00929635,3
cg01220680,0
cg01552272,0
cg02231404,6
cg03774514,0
cg04787211,5
cg06060522,6
cg07543830,5
cg07676859,0
cg09282500,1
cg10636447,5
cg12215340,0
cg12894649,0
cg14345012,0
cg14815891,6
cg14947478,6
cg16552454,5
cg16737517,6
cg17116120,6
cg20513976,4
cg20779964,3
cg21201401,4
cg22138735,6
cg22328786,0
cg22534145,0
cg23169957,0
cg23944804,0
cg24112000,6
cg24675557,5
cg24733560,5
cg25006249,6
cg25557432,0
cg25712981,5
cg26083330,5
cg26861732,5
cg27262717,5
cg00994804,6
cg01579765,5
cg01664727,6
cg02119577,2
cg02119792,5
cg02869559,6
cg04217515,7
cg06167719,6
cg06758350,6
cg07581732,0
cg10044179,6
cg11766577,6
cg11767757,4
cg12477880,6
cg13951069,2
cg16624482,7
cg16784985,6
cg22240348,6
cg24945462,2
cg25783241,1
cg00093544,5
cg00784671,6
cg01257975,5
cg01808030,6
cg02469909,0
cg03364108,0
cg04046669,0
cg04965050,0
cg05064106,5
cg05992904,6
cg06148736,6
cg06268694,0
cg07059402,6
cg07416664,2
cg09435190,6
cg09619624,6
cg10836392,0
cg10941566,3
cg11377136,0
cg12492885,3
cg13909895,6
cg14509403,3
cg15209808,0
cg15548613,6
cg15552843,0
cg15909981,0
cg18445088,5
cg18708252,1
cg19112186,5
cg20164887,5
cg20744362,6
cg20996561,5
cg22189786,6
cg22471075,6
cg23400715,4
cg23825480,4
cg27619353,2
cg00020474,3
cg00028022,6
cg00112952,2
cg00251125,1
cg00318631,6
cg00359365,2
cg00464946,4
cg00484358,5
cg00815832,6
cg00821310,2
cg00913954,7
cg00921097,4
cg00944785,7
cg00964446,4
cg00995854,7
cg01040850,4
cg01062020,6
cg01427815,6
cg01459453,2
cg01554474,2
cg01557798,5
cg01711077,4
cg01713950,1
cg01785514,2
cg01901101,3
cg01910639,4
cg01974375,1
cg02243785,0
cg02487331,6
cg02772605,6
cg02912371,4
cg02922776,7
cg02951739,4
cg02952913,7
cg02976588,3
cg03149128,5
cg03254146,6
cg03396347,6
cg03422911,0
cg03518202,1
cg03655142,1
cg03678274,7
cg03749154,4
cg04083966,6
cg04193160,5
cg04205769,7
cg04206665,6
cg04219099,5
cg04231677,7
cg04244970,2
cg04275362,1
cg04287259,4
cg04290171,2
cg04295372,7
cg04395153,6
cg04411044,2
cg04491808,4
cg04552418,7
cg04567445,3
cg04573706,4
cg04605532,7
cg04811114,6
cg04830316,4
cg04885825,4
cg04885881,1
cg05365199,1
cg05598488,6
cg05697274,6
cg05761882,4
cg05768419,2
cg05776630,1
cg05802386,4
cg05843457,6
cg05919685,4
cg06060874,2
cg06205333,6
cg06223162,6
cg06335143,5
cg06338710,2
cg06358171,3
cg06635351,7
cg06644515,1
cg06794355,1
cg06825163,6
cg06853416,1
cg06911110,2
cg06935979,2
cg06951677,2
cg07033722,7
cg07157834,6
cg07167872,6
cg07178825,5
cg07312601,4
cg07388493,1
cg07515989,5
cg07797372,1
cg07814932,7
cg07817856,6
cg07948875,7
cg07979236,7
cg08111158,6
cg08128734,1
cg08237401,5
cg08260406,6
cg08277548,1
cg08477332,6
cg08491437,4
cg08539965,7
cg08639434,6
cg08650784,4
cg08727996,6
cg08840010,7
cg08893087,1
cg08895590,6
cg08944170,6
cg09082287,3
cg09118625,6
cg09277376,3
cg09359103,6
cg09791504,4
cg09809672,1
cg09935388,2
cg10202113,1
cg10431747,5
cg10495683,2
cg10576245,3
cg10584024,2
cg10587082,1
cg10824677,6
cg10826999,7
cg10880902,4
cg10901806,4
cg10958452,7
cg11003133,4
cg11136041,1
cg11137145,1
cg11142333,4
cg11231349,4
cg11256186,6
cg11314684,1
cg11348257,7
cg11425788,1
cg11587191,4
cg11742688,2
cg11842367,6
cg11846112,0
cg11851382,4
cg12079303,2
cg12126706,2
cg12139069,4
cg12278474,1
cg12640482,4
cg12648811,6
cg12691488,5
cg12725760,2
cg12876356,2
cg13115222,2
cg13299824,4
cg13385220,2
cg13420364,2
cg13423554,3
cg13440692,4
cg13446689,1
cg13457410,6
cg13529755,6
cg13854219,7
cg13918804,6
cg13925011,4
cg14028598,7
cg14074626,1
cg14159672,6
cg14171486,3
cg14200127,1
cg14518227,4
cg14614643,2
cg14615152,4
cg14732540,1
cg14893161,6
cg14985891,7
cg15057250,6
cg15358723,4
cg15393490,1
cg15481583,2
cg15512289,2
cg15591803,2
cg15629460,5
cg15718932,1
cg15731815,0
cg15830864,2
cg16008966,1
cg16080552,5
cg16102739,2
cg16104584,2
cg16348158,1
cg16384864,4
cg16512885,6
cg16686396,2
cg16734875,4
cg16908123,1
cg16966139,4
cg17013990,7
cg17163404,4
cg17168771,6
cg17168836,1
cg17217296,4
cg17226042,2
cg17241310,5
cg17328665,6
cg17435683,1
cg17453456,1
cg17508639,2
cg17591816,7
cg17737314,2
cg17972213,4
cg18023598,3
cg18028470,4
cg18140268,6
cg18150280,1
cg18354264,2
cg18391209,6
cg18595867,3
cg18765906,4
cg18854765,7
cg18933331,1
cg18964582,1
cg19260376,6
cg19261426,1
cg19317258,4
cg19471466,6
cg19510626,1
cg19560758,5
cg19679865,6
cg19743168,6
cg19800670,5
cg19806310,4
cg19811148,4
cg19815596,5
cg19864060,1
cg19872095,4
cg20149168,6
cg20245116,6
cg20311002,4
cg20324858,1
cg20433858,5
