,clusters
cg17611045,6
cg17640485,4
cg18337222,7
cg18349298,3
cg18603228,0
cg19402939,6
cg19445322,6
cg19962116,0
cg20916523,6
cg21123160,7
cg21487550,2
cg21585138,5
cg21664636,5
cg23189410,7
cg23189692,3
cg24159436,2
cg24524379,6
cg24675998,0
cg27353899,6
cg27363829,0
cg27642784,7
cg00335712,0
cg00688962,0
cg02650266,0
cg02662828,7
cg03544320,0
cg03792162,2
cg05491001,0
cg06424065,7
cg06594404,7
cg07094298,1
cg08812889,0
cg08979352,3
cg09098195,4
cg09390241,5
cg09978860,6
cg10197305,6
cg10366786,1
cg10453719,0
cg10966580,0
cg11294620,6
cg12069267,0
cg12363722,0
cg12811871,5
cg13023646,6
cg14029686,6
cg15078412,6
cg16026922,0
cg16786756,6
cg16919569,7
cg17397159,4
cg17932096,6
cg18912209,6
cg19908812,0
cg20058148,1
cg20456258,2
cg20729813,4
cg20814179,6
cg21300373,7
cg21512644,0
cg21717958,6
cg21722242,7
cg21811021,2
cg22153181,0
cg22718636,2
cg23939001,6
cg25107254,0
cg25456368,4
cg25932599,6
cg26133769,0
cg26479374,1
cg26741686,6
cg26832294,0
cg26986681,6
cg27207756,6
cg27339282,6
cg00127167,0
cg00582971,0
cg00611789,2
cg01256539,1
cg01925738,2
cg02010196,0
cg02343823,7
cg02707176,2
cg04005843,6
cg04124626,6
cg04454086,0
cg04518342,0
cg05016408,7
cg05494467,0
cg05521474,6
cg05903444,0
cg06536614,6
cg06782035,0
cg06905511,4
cg06933824,2
cg06976144,6
cg07408835,0
cg07496545,2
cg07564962,0
cg08616061,2
cg08957484,2
cg09054633,0
cg09452568,3
cg09500443,0
cg09655403,2
cg09660878,6
cg10530883,0
cg10616795,1
cg11168104,6
cg11322797,0
cg11482794,0
cg11624524,6
cg11625005,7
cg11861905,6
cg12395823,6
cg12408990,2
cg13954457,0
cg14502484,0
cg15025103,2
cg15168727,0
cg15335436,7
cg15595755,6
cg15671317,2
cg15672768,7
cg15929797,0
cg16006841,6
cg16049690,0
cg16272981,5
cg16293892,6
cg16512661,0
cg16624210,6
cg17370163,0
cg17500228,3
cg17774559,0
cg17840719,7
cg18045100,5
cg18273840,0
cg18424208,6
cg18631996,7
cg18765565,6
cg18781988,2
cg19078576,0
cg19731612,4
cg19967668,6
cg19978312,2
cg20563910,0
cg20750832,0
cg21081817,6
cg21573200,0
cg21915313,2
cg22827250,2
cg22879098,6
cg23506143,3
cg24082121,1
cg24172509,6
cg24996161,2
cg25026992,2
cg26076054,6
cg26078977,0
cg26328633,6
cg26422488,0
cg26446499,7
cg26516362,6
cg26844246,0
cg26886462,7
cg00084338,2
cg00807871,6
cg01047555,0
cg01152056,6
cg01286685,2
cg01758512,0
cg02106850,0
cg02524205,2
cg02772121,1
cg03438552,5
cg03517284,6
cg03678062,7
cg03771840,0
cg03960072,2
cg07028914,0
cg07187855,6
cg07188523,3
cg07223240,2
cg07257824,6
cg07382347,6
cg07417146,7
cg07518714,6
cg07883457,0
cg08375234,4
cg08453194,1
cg08476511,2
cg08839808,4
cg08956463,0
cg08979319,7
cg09001226,7
cg09048334,6
cg09187505,2
cg09279736,2
cg09572125,7
cg09637172,5
cg09749225,6
cg10135483,0
cg10176110,0
cg10182317,0
cg10563109,6
cg10647833,3
cg10721149,7
cg10890302,2
cg10904109,7
cg10923662,6
cg11068217,5
cg11540476,2
cg11563680,0
cg11671688,7
cg12633154,2
cg13246235,0
cg13299325,5
cg13912224,7
cg15253304,5
cg15562220,0
cg16530177,6
cg16867657,0
cg17478979,7
cg17536595,7
cg17553149,6
cg17674042,4
cg18217622,6
cg18833306,6
cg18912728,7
cg20053110,6
cg20980653,5
cg21010202,4
cg22237300,2
cg22570970,7
cg22620090,0
cg23618440,0
cg23746497,0
cg24246628,6
cg24366557,0
cg24442454,2
cg24869601,0
cg25351606,0
cg25657713,7
cg26121931,6
cg26466587,0
cg26715042,6
cg27226147,6
cg27239981,2
cg27535677,6
cg00048759,2
cg00094518,0
cg00106345,2
cg00552235,0
cg00553149,2
cg00840332,7
cg00867835,6
cg01003961,0
cg01285926,2
cg01381374,6
cg01996567,6
cg02497785,4
cg02820566,6
cg02914422,0
cg03188948,6
cg03190219,7
cg03357999,2
cg03817667,0
cg04021544,6
cg04633141,4
cg04652097,0
cg04996195,4
cg05223392,4
cg05425699,4
cg05732750,0
cg06155229,1
cg06335867,0
cg06352730,0
cg06589239,6
cg06783429,2
cg06975979,6
cg07045469,4
cg07075347,6
cg07138768,6
cg07143083,0
cg07750378,2
cg08575537,0
cg08580268,2
cg08641579,0
cg08832624,2
cg09124496,1
cg09506675,6
cg09658497,4
cg09937438,7
cg10092878,0
cg10259889,6
cg10477621,0
cg10552126,0
cg10720000,2
cg10742917,2
cg11024728,6
cg12348202,7
cg12479444,2
cg12575883,6
cg12597389,7
cg13207630,6
cg13381984,7
cg13578160,6
cg14398883,4
cg15134787,2
cg15782153,6
cg16172923,4
cg16234978,7
cg16627090,6
cg16649298,7
cg17429236,7
cg17827650,2
cg18402987,6
cg18961681,0
cg19183166,6
cg19230755,7
cg19346786,2
cg19594666,7
cg19629631,1
cg20164601,2
cg20603222,4
cg20697025,7
cg20848291,6
cg21126583,0
cg21733531,2
cg21887193,7
cg22114489,4
cg22620221,0
cg22747501,4
cg23316599,2
cg23752752,2
cg24497732,2
cg24707573,6
cg24729221,2
cg24830730,4
cg25712005,1
cg25820728,5
cg26224354,4
cg26814075,7
cg26996890,6
cg27100990,0
cg27393010,0
cg27454412,7
cg27549208,4
cg01471372,4
cg01518225,6
cg01906015,0
cg02048922,5
cg02110858,4
cg03454775,2
cg03635442,6
cg03660096,1
cg04122358,6
cg04169483,2
cg04773818,0
cg04880091,2
cg05056638,6
cg05453358,2
cg06010588,0
cg06383163,0
cg06401414,5
cg06808751,0
cg06822816,0
cg08174789,6
cg08756121,0
cg09232555,6
cg09442654,0
cg10806146,7
cg11062466,6
cg11204212,0
cg11424828,6
cg11460727,0
cg11469098,0
cg11471802,2
cg11701471,0
cg11826726,6
cg12097222,0
cg12166610,0
cg12258042,0
cg12296772,0
cg12877723,0
cg13257436,2
cg13282195,6
cg13434842,7
cg13735469,6
cg14015441,7
cg14354820,5
cg14486338,0
cg15316716,5
cg15427886,0
cg15628518,7
cg15858239,0
cg16316162,6
cg16419235,0
cg16783744,0
cg17052170,6
cg17173767,0
cg17465752,7
cg17470251,2
cg17486097,0
cg18343437,0
cg19893585,7
cg20607798,6
cg20661138,7
cg21163717,5
cg21183256,0
cg21244135,5
cg21709871,2
cg22382021,2
cg23291534,0
cg23495279,0
cg23958373,6
cg24142603,5
cg24634471,6
cg24809973,0
cg24911891,1
cg25017584,5
cg26872137,0
cg26925231,0
cg27005749,0
cg27317647,7
cg05863502,0
cg11510586,6
cg13397898,7
cg13449257,5
cg13544075,4
cg13558371,2
cg13571460,6
cg13679303,2
cg13874425,6
cg13888226,6
cg13985784,0
cg14018024,4
cg14185918,2
cg14217861,4
cg14255824,1
cg14294859,2
cg14326196,0
cg14349763,5
cg14389669,4
cg14406134,5
cg14425564,0
cg14620572,2
cg21160290,4
cg21167269,6
cg21251970,6
cg23928763,6
cg00158122,7
cg00159523,2
cg00824018,0
cg01150683,7
cg01476568,0
cg02477603,2
cg02721176,6
cg03015672,5
cg03171770,0
cg03354992,0
cg03463778,4
cg03599078,7
cg04189187,5
cg04270401,4
cg04492858,2
cg04707519,0
cg04813697,5
cg05098512,5
cg05184377,7
cg05237641,0
cg05265884,2
cg05791173,2
cg05898188,2
cg05971678,3
cg06159404,6
cg06324373,2
cg06474225,3
cg06648277,0
cg07044859,6
cg07055616,0
cg07091481,4
cg07151406,4
cg08461752,4
cg09577804,6
cg09614415,0
cg09634707,6
cg10056132,0
cg10298052,0
cg10804656,0
cg11376341,3
cg11430259,6
cg11445109,6
cg11705975,0
cg11727383,0
cg12060422,0
cg12610471,0
cg12765123,6
cg13327545,0
cg13714026,1
cg13750264,6
cg13933080,0
cg14156751,7
cg15638709,7
cg15795305,2
cg16208053,4
cg16501237,0
cg16532016,2
cg16664405,0
cg16692735,2
cg16697438,0
cg16750801,4
cg17301379,6
cg17477052,6
cg17841267,5
cg18247055,0
cg18358869,0
cg18675610,1
cg18699744,2
cg18737081,4
cg18932726,0
cg19317226,6
cg19904058,2
cg20087519,2
cg20638675,2
cg22633280,7
cg23304023,5
cg23615741,4
cg24205914,7
cg24621437,0
cg25604594,6
cg25888561,0
cg26115633,0
cg27177554,0
cg27312979,1
cg27367170,7
cg27469738,6
cg00270878,6
cg00496961,6
cg01178624,4
cg01530101,0
cg01568784,0
cg01677628,6
cg01794156,6
cg02046143,1
cg02423574,1
cg02423817,5
cg02646491,0
cg02973171,0
cg03146219,3
cg03155200,3
cg03274739,6
cg03528538,5
cg03730428,0
cg04940570,0
cg04942251,4
cg05353869,6
cg05475524,2
cg05733135,0
cg05898618,4
cg06064525,6
cg06299284,2
cg06679296,6
cg06719900,0
cg06766960,4
cg07675031,7
cg07688490,0
cg08214808,2
cg08227583,5
cg08356637,3
cg08804111,6
cg08829299,6
cg09251429,0
cg09527615,4
cg09767822,7
cg10261205,6
cg11284797,2
cg11537406,6
cg11909574,4
cg12064373,6
cg12500951,2
cg12832726,7
cg13228701,6
cg13570972,0
cg13771313,6
cg14130459,2
cg14249520,7
cg14699728,0
cg14780632,0
cg15296767,7
cg15310492,0
cg15861585,0
cg15916004,0
cg16385335,5
cg16554981,1
cg16776065,0
cg17176573,0
cg17416644,6
cg17566541,3
cg17611235,6
cg18032502,6
cg18723409,7
cg18729298,7
cg18987410,0
cg19021383,2
cg19284039,6
cg19679397,4
cg20171011,5
cg20596329,7
cg20809378,0
cg21011139,0
cg21663341,7
cg21782309,6
cg21893358,2
cg22136363,0
cg22805485,4
cg23854488,2
cg24049888,6
cg24891434,2
cg25203481,0
cg25258098,6
cg25886479,4
cg26051413,6
cg26226988,5
cg00610577,7
cg00766289,6
cg01054110,4
cg01352472,4
cg02734259,6
cg03539765,0
cg03565777,4
cg04347477,7
cg07679219,2
cg07877257,6
cg07986199,1
cg08696931,7
cg09692396,1
cg09800500,5
cg09887059,7
cg10317314,6
cg10665891,7
cg10906284,0
cg11429292,0
cg13504434,4
cg13575925,2
cg14062119,0
cg14078579,6
cg14497054,2
cg14844236,7
cg16065021,0
cg16374999,2
cg16408865,5
cg16519192,2
cg18644252,2
cg18877737,6
cg19796532,7
cg20090957,6
cg20181887,7
cg20731937,6
cg22125805,0
cg22249612,3
cg22490861,7
cg23081604,2
cg23128949,3
cg24131359,3
cg25201101,5
cg26922917,6
cg26931862,0
cg27179101,7
cg27651238,2
cg00525681,2
cg00963378,6
cg02030958,5
cg02320481,0
cg02547394,0
cg02611934,6
cg03486986,2
cg03954144,6
cg06133910,5
cg06259025,2
cg06452665,0
cg06470855,6
cg07296256,7
cg08136772,0
cg08293242,6
cg08510264,0
cg08959039,4
cg09469566,0
cg09907509,0
cg13846270,7
cg13903179,6
cg15653173,0
cg15696906,7
cg15972148,3
cg16705627,7
cg16820615,2
cg17555373,0
cg17655970,2
cg20293942,2
cg24492140,6
cg25461801,0
cg26444528,0
cg26609631,0
cg27031448,4
cg27260867,6
cg01775802,4
cg01840183,2
cg01873886,2
cg01993818,6
cg02287710,0
cg02299497,6
cg03575765,1
cg04224064,0
cg04517524,2
cg05057720,0
cg05402891,1
cg05931439,7
cg08182193,4
cg09341793,0
cg10077239,2
cg10101773,7
cg10501704,0
cg10920224,2
cg11115622,7
cg11143148,1
cg13225565,6
cg14020846,0
cg17007640,0
cg18313317,2
cg19811934,6
cg19865237,4
cg20310894,7
cg20478129,0
cg22789982,2
cg23112821,6
cg23248887,0
cg23998119,2
cg24740320,5
cg24779941,2
cg26260369,4
cg26354128,0
cg26967100,0
cg27170268,3
cg01178680,0
cg01919939,1
cg02486855,4
cg03209642,0
cg04140663,2
cg04188862,7
cg05790451,7
cg06107293,3
cg07057579,7
cg07774964,4
cg08433504,1
cg09397246,7
cg09827761,6
cg12546081,2
cg12685846,0
cg12863693,6
cg13136933,6
cg13626582,6
cg14512563,0
cg15605858,7
cg16275295,7
cg16391327,6
cg18388910,6
cg18490614,7
cg19295951,0
cg19461383,6
cg19556901,6
cg19821713,7
cg19965221,0
cg20255370,6
cg20318166,0
cg20592017,4
cg21149266,3
cg21402921,0
cg21791017,2
cg22159025,6
cg23934731,2
cg24139093,0
cg24152845,6
cg24369989,0
cg25404375,1
cg25895948,0
cg26942432,2
cg27578811,0
cg27649239,0
cg27664085,2
cg00249383,7
cg00452882,4
cg00942219,0
cg01023759,2
cg01107178,5
cg01207684,4
cg01718742,0
cg02352240,7
cg02548364,0
cg02564175,4
cg02852791,7
cg03415617,2
cg03507326,5
cg03728674,5
cg03834411,6
cg03890691,2
cg04194840,1
cg04208403,1
cg04716530,5
cg04914946,3
cg05083852,7
cg05413628,3
cg05457730,6
cg05638439,4
cg06233301,1
cg06552969,6
cg06601581,4
cg06602086,6
cg06749872,5
cg07310671,1
cg07336350,0
cg07516511,2
cg07605523,1
cg07639376,6
cg07646362,2
cg07850527,0
cg08084154,6
cg08277369,6
cg08296037,6
cg08428292,5
cg08438529,5
cg08511886,6
cg08886823,7
cg08923669,2
cg09259081,1
cg09316954,4
cg09477019,2
cg09482050,2
cg09642825,5
cg15811515,0
cg16372632,6
cg16391678,5
cg27183791,5
cg27219841,6
cg27228433,2
cg27365295,6
cg27583010,5
cg00376544,0
cg00430613,6
cg00594854,5
cg00911794,0
cg00945209,5
cg00974761,5
cg01461856,6
cg01543184,7
cg01637175,2
cg01781617,6
cg02093112,0
cg02228675,2
cg02374745,0
cg02452435,6
cg02676175,6
cg02930419,2
cg03407747,2
cg03803541,6
cg04042333,5
cg04296540,0
cg04352272,2
cg05373251,4
cg05726661,0
cg05856321,6
cg05978306,7
cg06100756,0
cg06126721,3
cg06893273,4
cg07075026,6
cg07146073,5
cg07274618,0
cg07697428,5
cg07739179,2
cg07937925,2
cg08154101,6
cg08500763,7
cg08591265,5
cg09096555,2
cg09121543,5
cg09187107,3
cg09648727,4
cg09812376,4
cg10137837,0
cg10186366,7
cg10308785,4
cg11068289,1
cg11183072,7
cg11641791,0
cg12077963,5
cg12765064,2
cg14011789,5
cg14181409,3
cg14263391,7
cg14947218,4
cg15191021,2
cg15825321,2
cg16047279,5
cg16340422,1
cg16513459,6
cg16755500,0
cg16766914,6
cg16810031,5
cg16835101,6
cg16968985,2
cg16969368,2
cg17179862,6
cg17525495,3
cg17807479,0
cg18026225,2
cg18128536,6
cg19030682,5
cg19056772,0
cg19163395,5
cg19430537,2
cg19447962,7
cg19563510,7
cg19618897,5
cg19935040,6
cg20273670,2
cg20769177,0
cg20966754,6
cg21237687,2
cg21347874,1
cg21692620,2
cg21926619,3
cg22120714,0
cg22175814,6
cg22193912,7
cg22534110,2
cg23161218,7
cg23350904,7
cg23365801,6
cg23621097,0
cg23669081,6
cg23766254,6
cg24122498,7
cg24709951,1
cg24803719,2
cg24870966,6
cg25563256,0
cg25657218,2
cg25858132,2
cg26879581,0
cg27125849,0
cg27138293,2
cg27375378,2
cg27395066,7
cg00366917,4
cg00636427,7
cg01056135,3
cg02750262,6
cg03614193,0
cg03972071,6
cg07637837,4
cg15916399,0
cg16922039,7
cg18044383,0
cg20192747,0
cg21330207,2
cg23883696,0
cg24202131,2
cg24880056,0
cg25423077,6
cg00449767,6
cg00479463,5
cg00591868,5
cg00593900,2
cg01023751,1
cg01410876,2
cg01428589,0
cg01542019,1
cg02624701,6
cg02711397,2
cg02872767,6
cg02919615,0
cg03192598,0
cg03593550,7
cg03624195,7
cg03630821,6
cg04164838,2
cg04419610,0
cg04546413,6
cg04731544,0
cg05006231,2
cg05027597,7
cg05213896,0
cg05308495,6
cg05368740,2
cg06379435,3
cg06423211,2
cg06706159,5
cg06942742,2
cg07060551,0
cg07355926,2
cg07382454,0
cg07749412,2
cg07785717,2
cg08145067,0
cg08305436,7
cg08324152,2
cg08461949,2
cg08570691,5
cg08617160,2
cg08852641,5
cg09450024,2
cg09515953,0
cg09521703,0
cg09578475,0
cg09907936,0
cg09935271,4
cg10374084,2
cg10404009,6
cg10604476,6
cg10665321,2
cg10687087,2
cg10769989,4
cg10783469,0
cg11254700,7
cg11395414,6
cg11902728,3
cg12156512,3
cg12216477,2
cg12227172,0
cg12542255,7
cg13404054,0
cg13407975,7
cg13558754,7
cg14036830,6
cg14101485,3
cg14106680,6
cg14299480,6
cg14582763,0
cg14679780,5
cg15027300,0
cg15030849,0
cg15213081,6
cg15215348,2
cg15572907,6
cg15576517,3
cg15690347,2
cg16015423,7
cg16194588,6
cg16615829,2
cg16672562,4
cg16744531,2
cg17780246,7
cg17810176,7
cg17861230,0
cg17929770,0
cg18075691,6
cg18229178,2
cg18384778,0
cg18417954,7
cg18541087,5
cg18563413,2
cg19344626,1
cg19485202,0
cg19497523,4
cg19517476,5
cg20106459,0
cg20464719,7
cg20667364,6
cg21869609,6
cg21994712,6
cg22195627,0
cg22294740,4
cg23331484,0
cg23368787,0
cg23463608,5
cg24137511,5
cg24175803,6
cg24368848,0
cg24377495,2
cg24415208,0
cg24476033,6
cg24679890,0
cg24714497,2
cg24794228,2
cg24840300,2
cg24911113,7
cg24923931,2
cg25352836,2
cg25537993,0
cg25556122,6
cg25623524,6
cg25784220,0
cg26254045,6
cg26734888,2
cg26746936,6
cg26827373,0
cg26890189,0
cg26923490,0
cg26988138,6
cg27072996,7
cg27152890,2
cg27391267,0
cg00199007,2
cg00446123,5
cg00929635,7
cg01220680,0
cg01552272,0
cg02231404,6
cg03774514,0
cg04787211,2
cg06060522,6
cg07543830,2
cg07676859,0
cg09282500,5
cg10636447,2
cg12215340,0
cg12894649,0
cg14345012,0
cg14815891,6
cg14947478,6
cg16552454,2
cg16737517,6
cg17116120,6
cg20513976,5
cg20779964,7
cg21201401,5
cg22138735,6
cg22328786,0
cg22534145,0
cg23169957,0
cg23944804,0
cg24112000,6
cg24675557,6
cg24733560,2
cg25006249,6
cg25557432,0
cg25712981,6
cg26083330,2
cg26861732,2
cg27262717,2
cg00994804,6
cg01579765,2
cg01664727,6
cg02119577,4
cg02119792,6
cg02869559,6
cg04217515,3
cg06167719,6
cg06758350,6
cg07581732,0
cg10044179,6
cg11766577,6
cg11767757,5
cg12477880,6
cg13951069,4
cg16624482,3
cg16784985,6
cg22240348,6
cg24945462,4
cg25783241,6
cg00093544,2
cg00784671,6
cg01257975,7
cg01808030,6
cg02469909,0
cg03364108,0
cg04046669,7
cg04965050,0
cg05064106,2
cg05992904,6
cg06148736,2
cg06268694,0
cg07059402,6
cg07416664,4
cg09435190,6
cg09619624,2
cg10836392,0
cg10941566,7
cg11377136,0
cg12492885,7
cg13909895,6
cg14509403,7
cg15209808,7
cg15548613,6
cg15552843,0
cg15909981,0
cg18445088,0
cg18708252,1
cg19112186,2
cg20164887,2
cg20744362,6
cg20996561,2
cg22189786,6
cg22471075,6
cg23400715,5
cg23825480,5
cg27619353,4
cg00020474,7
cg00028022,6
cg00112952,4
cg00251125,1
cg00318631,6
cg00359365,4
cg00464946,5
cg00484358,2
cg00815832,2
cg00821310,4
cg00913954,3
cg00921097,5
cg00944785,3
cg00964446,5
cg00995854,3
cg01040850,5
cg01062020,6
cg01427815,2
cg01459453,4
cg01554474,4
cg01557798,2
cg01711077,5
cg01713950,1
cg01785514,4
cg01901101,7
cg01910639,5
cg01974375,1
cg02243785,0
cg02487331,6
cg02772605,6
cg02912371,5
cg02922776,3
cg02951739,1
cg02952913,3
cg02976588,7
cg03149128,2
cg03254146,6
cg03396347,4
cg03422911,0
cg03518202,1
cg03655142,1
cg03678274,3
cg03749154,5
cg04083966,6
cg04193160,2
cg04205769,3
cg04206665,6
cg04219099,2
cg04231677,3
cg04244970,4
cg04275362,1
cg04287259,1
cg04290171,4
cg04295372,3
cg04395153,4
cg04411044,4
cg04491808,5
cg04552418,3
cg04567445,7
cg04573706,5
cg04605532,3
cg04811114,6
cg04830316,5
cg04885825,5
cg04885881,1
cg05365199,1
cg05598488,6
cg05697274,6
cg05761882,5
cg05768419,4
cg05776630,1
cg05802386,5
cg05843457,6
cg05919685,5
cg06060874,4
cg06205333,4
cg06223162,6
cg06335143,2
cg06338710,4
cg06358171,7
cg06635351,3
cg06644515,1
cg06794355,1
cg06825163,6
cg06853416,1
cg06911110,4
cg06935979,2
cg06951677,4
cg07033722,3
cg07157834,6
cg07167872,6
cg07178825,2
cg07312601,5
cg07388493,1
cg07515989,2
cg07797372,1
cg07814932,3
cg07817856,6
cg07948875,3
cg07979236,3
cg08111158,2
cg08128734,1
cg08237401,2
cg08260406,6
cg08277548,1
cg08477332,6
cg08491437,5
cg08539965,3
cg08639434,6
cg08650784,5
cg08727996,6
cg08840010,3
cg08893087,1
cg08895590,6
cg08944170,6
cg09082287,7
cg09118625,6
cg09277376,7
cg09359103,4
cg09791504,5
cg09809672,1
cg09935388,4
cg10202113,1
cg10431747,2
cg10495683,4
cg10576245,7
cg10584024,4
cg10587082,1
cg10824677,4
cg10826999,3
cg10880902,5
cg10901806,5
cg10958452,3
cg11003133,5
cg11136041,5
cg11137145,1
cg11142333,5
cg11231349,5
cg11256186,6
cg11314684,4
cg11348257,3
cg11425788,6
cg11587191,5
cg11742688,4
cg11842367,6
cg11846112,0
cg11851382,5
cg12079303,4
cg12126706,4
cg12139069,5
cg12278474,1
cg12640482,5
cg12648811,6
cg12691488,2
cg12725760,2
cg12876356,4
cg13115222,4
cg13299824,5
cg13385220,4
cg13420364,4
cg13423554,7
cg13440692,5
cg13446689,1
cg13457410,6
cg13529755,6
cg13854219,3
cg13918804,4
cg13925011,5
cg14028598,3
cg14074626,1
cg14159672,6
cg14171486,7
cg14200127,1
cg14518227,5
cg14614643,4
cg14615152,5
cg14732540,1
cg14893161,6
cg14985891,3
cg15057250,6
cg15358723,5
cg15393490,1
cg15481583,4
cg15512289,4
cg15591803,4
cg15629460,2
cg15718932,6
cg15731815,0
cg15830864,4
cg16008966,1
cg16080552,2
cg16102739,4
cg16104584,4
cg16348158,1
cg16384864,5
cg16512885,6
cg16686396,4
cg16734875,5
cg16908123,1
cg16966139,5
cg17013990,3
cg17163404,5
cg17168771,6
cg17168836,1
cg17217296,5
cg17226042,4
cg17241310,7
cg17328665,6
cg17435683,1
cg17453456,1
cg17508639,4
cg17591816,3
cg17737314,4
cg17972213,5
cg18023598,7
cg18028470,5
cg18140268,6
cg18150280,1
cg18354264,2
cg18391209,6
cg18595867,7
cg18765906,5
cg18854765,3
cg18933331,1
cg18964582,1
cg19260376,6
cg19261426,1
cg19317258,5
cg19471466,6
cg19510626,1
cg19560758,0
cg19679865,6
cg19743168,6
cg19800670,7
cg19806310,5
cg19811148,5
cg19815596,2
cg19864060,1
cg19872095,5
cg20149168,6
cg20245116,6
cg20311002,5
cg20324858,1
cg20433858,2
